mʊjana,mwana,child
mʊntʊ,muntu,person
mʊdɪmi,murimyi,parent
mʊdogɪ,murozi,witch
mʊjibi,mwibyi,thief
mʊjidagʊda,mwirabura,Black person
mʊnʊa,munwa,mouth
idiba,iriba,well
jico,ʒišo,eye
matai,mata,milk
makuta,mavuta,oil
majijɪ,mazi,water
ijina,izina,name
kʊjedi,kwezi,moon
bad,bar,count
bon,bon,see
bʊmb,bumb,make pottery
biad,byar,give birth
bin,byin,dance
tud,čur,forge
tata,data,my father
kʊd,kur,grow up
ku,pf,die
gʊd,gur,buy
cek,sek,laugh
gʊ,gw,fall
p,h,give
pod,hor,quiet
jib,ib,steal
ipapa,ibaba,wing
mbede,mbere,breast
kɪganja,kiganza,hand
ibʊmba,ibumba,clay
ibʊe,ibuye,stone
kʊmi,čumi,ten
kɪjati,ćaci,grass
icuɪ,ifi,fish
igɪ,igi,egg
kɪkodo,gikoro,yam
mʊtɪ,muti,tree
ikupa,igufwa,bone
ipaca,ihasa,twin
gʊdʊ,ʒuru,heaven
ikada,ikara,charcoal
kɪbanja,kibanza,building site
kɪgego,kiʒigo,molar
mbʊa,mbwa,dog
ngubʊ,mvubu,hippo
mpiti,mpyisi,hyena
mʊtɪma,mutima,heart
mʊtʊe,mutwe,head
ngoina,ngona,crocodile
mbuda,mvura,rain
mʊjaka,mwaka,year
ndɪmi,ndimi,tongue
ngoma,ngoma,drum
ngʊdʊbe,ngurube,pig
ngoi,ngwe,leopard
nkanga,nkanga,guinea fowl
nɲama,ɲama,meat
njanja,ɲanja,ocean
njʊni,ɲoni,bird
njada,nzara,hunger
njɪda,nzira,road
njoka,nzoka,snake
njogu,nzovu,elephant
ndotɪ,nzozi,dream
njikɪ,nzuki,bee
coko,soko,spring
coni,soni,modesty
jɪt,it,call
itako,itako,buttock
ijʊba,izuba,sun
ijʊdʊ,izuru,nose
gɪ,ɟ,go
kam,kam,milk
ɲo,ɲw,drink
mama,mama,my mother
madʊme,marume,my maternal uncle
moi,mwe,one
nunk,nuk,smell
nina,ɲina,someone's mother
ɲoko,ɲoko,your mother
jog,og,bathe
jot,ot,warm
joki,oć,roast
dɪm,rim,cultivate
dob,rob,fish
dog,rog,bewitch
dot,rot,dream
dʊad,rwar,be ill
dɪ,ry,eat
ce,se,someone's father
cim,ʃim,thank
tig,sig,leave
bʊjikɪ,buki,honey
bʊdogi,burozi,poison
bʊjato,bwato,boat
bʊjongo,bwonko,brain
kʊtʊi,gutwi,ear
kʊboko,kuboko,arm
kʊgʊdʊ,kuguru,leg
kʊjapa,kwaha,armpit
mʊganga,muganga,doctor
mʊkono,mukono,hand
mʊcʊa,muswa,termite
mʊjami,mwami,king
jigu,umv,hear
jij,z,come
